
"","","","","","","","","","","","","","Differences from Control"
" ","Region","Deficit","Forecast Days","Percent Adj"," ","Avg Yield","Total Irrigs","Avg Irrigs","Avg WUE","AdvancedCnt","DelayedCnt"," ","Avg Yield","Total Irrigs","Avg Irrigs","Avg WUE"
" ","","(mm)","(days)","(%)"," ","(kg/ha)","()","()","(kg/mm)","()","()"," ","(kg/ha)","()","()","(kg/mm)"

" ","Hi",100,3,20," ",0.0,0,0.0,0.0,115,298," ",0,0,0,0.0
" ","Hi",100,3,40," ",0.0,0,0.0,0.0,163,494," ",0,0,0,0.0
" ","Hi",100,5,5," ",0.0,0,0.0,0.0,39,60," ",0,0,0,0.0
" ","Hi",100,5,10," ",0.0,0,0.0,0.0,52,121," ",0,0,0,0.0
" ","Hi",100,5,20," ",0.0,0,0.0,0.0,86,310," ",0,0,0,0.0
" ","Hi",100,5,40," ",0.0,0,0.0,0.0,133,506," ",0,0,0,0.0
" ","Hi",100,7,5," ",0.0,0,0.0,0.0,41,66," ",0,0,0,0.0
" ","Hi",100,7,10," ",0.0,0,0.0,0.0,51,126," ",0,0,0,0.0
" ","Hi",100,7,20," ",0.0,0,0.0,0.0,66,238," ",0,0,0,0.0
" ","Hi",100,7,40," ",0.0,0,0.0,0.0,111,525," ",0,0,0,0.0
" ","Hi",120,3,5," ",0.0,0,0.0,0.0,40,82," ",0,0,0,0.0
" ","Hi",120,3,10," ",0.0,0,0.0,0.0,57,163," ",0,0,0,0.0
" ","Hi",120,3,20," ",0.0,0,0.0,0.0,85,251," ",0,0,0,0.0
" ","Hi",120,3,40," ",0.0,0,0.0,0.0,144,256," ",0,0,0,0.0
" ","Hi",120,5,5," ",0.0,0,0.0,0.0,43,79," ",0,0,0,0.0
" ","Hi",120,5,10," ",0.0,0,0.0,0.0,53,180," ",0,0,0,0.0
" ","Hi",120,5,20," ",0.0,0,0.0,0.0,71,293," ",0,0,0,0.0
" ","Hi",120,5,40," ",0.0,0,0.0,0.0,114,380," ",0,0,0,0.0
" ","Hi",120,7,5," ",0.0,0,0.0,0.0,40,81," ",0,0,0,0.0
" ","Hi",120,7,10," ",0.0,0,0.0,0.0,51,152," ",0,0,0,0.0
" ","Hi",120,7,20," ",0.0,0,0.0,0.0,62,310," ",0,0,0,0.0
" ","Hi",120,7,40," ",0.0,0,0.0,0.0,95,573," ",0,0,0,0.0
